rank,name,position,points,picked
1,Saquon Barkley,RB,322.3,0
2,Christian McCaffrey,RB,292.7,0
3,Alvin Kamara,RB,292,0
4,Ezekiel ElliottQ,RB,265.8,0
5,DeAndre Hopkins,WR,240.6,0
6,David Johnson,RB,271.3,0
7,Michael Thomas,WR,236.1,0
8,Le'Veon Bell,RB,247.1,0
9,Davante Adams,WR,233.9,0
10,Julio JonesQ,WR,238.5,0
11,Tyreek Hill,WR,246.3,0
12,Odell Beckham Jr.Q,WR,227.1,0
13,JuJu Smith-Schuster,WR,228.2,0
14,Todd Gurley II,RB,254.4,0
15,Joe Mixon,RB,242.4,0
16,James Conner,RB,238.6,0
17,Dalvin Cook,RB,232.8,0
18,Travis Kelce,TE,232.2,0
19,Antonio Brown,WR,221.1,0
20,Mike EvansQ,WR,218.4,0
21,Keenan Allen,WR,214.9,0
22,Nick Chubb,RB,229,0
23,Kerryon Johnson,RB,208.6,0
24,Devonta Freeman,RB,218.2,0
25,Josh Jacobs,RB,213.9,0
26,Leonard Fournette,RB,210.3,0
27,Amari CooperQ,WR,202,0
28,Julian EdelmanQ,WR,209.6,0
29,George Kittle,TE,192,0
30,Zach Ertz,TE,176.8,0
31,Chris Carson,RB,210,0
32,Aaron Jones,RB,211.3,0
33,Derrick Henry,RB,222.3,0
34,Melvin GordonQ,RB,190.2,0
35,David Montgomery,RB,191.8,0
36,Adam ThielenQ,WR,196.1,0
37,Brandin Cooks,WR,191.8,0
38,Stefon Diggs,WR,182.1,0
39,Robert Woods,WR,175.9,0
40,Kenny Golladay,WR,175.4,0
41,T.Y. Hilton,WR,175.8,0
42,Cooper KuppQ,WR,166.2,0
43,Patrick Mahomes,QB,342.7,0
44,Mark Ingram II,RB,196.9,0
45,James White,RB,181.1,0
46,Tyler Lockett,WR,174.6,0
47,Chris Godwin,WR,169.4,0
48,Alshon Jeffery,WR,169.7,0
49,Mike Williams,WR,176,0
50,DJ Moore,WR,171.8,0
51,Tyler Boyd,WR,168.3,0
52,Allen Robinson,WR,163.3,0
53,Calvin Ridley,WR,165.6,0
54,Josh Gordon,WR,159.1,0
55,Sterling Shepard,WR,168.4,0
56,Sammy Watkins,WR,159.8,0
57,Sony Michel,RB,192.8,0
58,Marlon Mack,RB,177.5,0
59,Duke Johnson Jr.,RB,162.9,0
60,Kenyan Drake,RB,180.3,0
61,Phillip Lindsay,RB,157.7,0
62,Derrius Guice,RB,163.4,0
63,Tevin Coleman,RB,165.1,0
64,Miles Sanders,RB,153.4,0
65,Evan Engram,TE,144.4,0
66,O.J. Howard,TE,139.1,0
67,Hunter Henry,TE,137,0
68,Jared Cook,TE,139.5,0
69,Damien Williams,RB,151.4,0
70,Devin Singletary,RB,154.5,0
71,Deshaun Watson,QB,328.6,0
72,Matt Ryan,QB,304.6,0
73,Aaron Rodgers,QB,299.6,0
74,Robby AndersonQ,WR,162.1,0
75,A.J. GreenO,WR,147.8,0
76,Jarvis Landry,WR,155.3,0
77,Dede Westbrook,WR,152.4,0
78,Christian Kirk,WR,140.8,0
79,Emmanuel Sanders,WR,146.4,0
80,Marvin Jones Jr.,WR,153.9,0
81,Curtis Samuel,WR,138.7,0
82,Tarik Cohen,RB,152.3,0
83,Austin Ekeler,RB,146.5,0
84,Matt Breida,RB,143.2,0
85,Royce Freeman,RB,129.1,0
86,Rashaad Penny,RB,122.7,0
87,Cam NewtonQ,QB,302.5,0
88,Baker Mayfield,QB,282.5,0
89,Carson Wentz,QB,293.4,0
90,Dak Prescott,QB,298.2,0
91,Corey Davis,WR,130.2,0
92,Jamison Crowder,WR,134.9,0
93,Courtland Sutton,WR,128.9,0
94,Michael Gallup,WR,130.5,0
95,James Washington,WR,116.2,0
96,Will Fuller V,WR,115.1,0
97,Larry Fitzgerald,WR,146,0
98,Dante PettisQ,WR,123.5,0
99,Vance McDonald,TE,121.9,0
100,LeSean McCoy,RB,105,0
101,Latavius MurrayQ,RB,119.3,0
102,Peyton Barber,RB,129.6,0
103,Nyheim Hines,RB,102.7,0
104,Jordan Howard,RB,108.8,0
105,Jalen Richard,RB,104.2,0
106,Darrell Henderson,RB,84.1,0
107,Marquez Valdes-Scantling,WR,122.2,0
108,Donte Moncrief,WR,127,0
109,Keke CouteeQ,WR,103,0
110,Tyrell WilliamsQ,WR,126.5,0
111,David Njoku,TE,121,0
112,Delanie Walker,TE,117.5,0
113,Austin Hooper,TE,122.8,0
114,Ben Roethlisberger,QB,285.8,0
115,Drew Brees,QB,280.3,0
116,Russell Wilson,QB,279.5,0
117,Kyler Murray,QB,284.4,0
118,Jared Goff,QB,275.5,0
119,Lamar Jackson,QB,269.5,0
120,DeSean JacksonQ,WR,126.2,0
121,Geronimo Allison,WR,107.6,0
122,Anthony Miller,WR,113.1,0
123,Adam Humphries,WR,103.5,0
124,Tom Brady,QB,277.3,0
125,Mitchell Trubisky,QB,279.2,0
126,DK MetcalfQ,WR,117.8,0
127,John Brown,WR,114.7,0
128,Golden TateSSPD,WR,103.9,0
129,Albert Wilson,WR,110.7,0
130,Mohamed Sanu,WR,121.9,0
131,Trey BurtonQ,TE,112.4,0
132,Jack Doyle,TE,101.1,0
133,Mark Andrews,TE,110.6,0
134,Jordan ReedQ,TE,109.9,0
135,Dion Lewis,RB,104.2,0
136,Giovani Bernard,RB,97.7,0
137,Ronald Jones,RB,86.7,0
138,Kalen Ballage,RB,91.1,0
139,Paul Richardson,WR,115.5,0
140,DaeSean Hamilton,WR,110.3,0
141,Bears D/ST,D/ST,117.3,0
142,Jaguars D/ST,D/ST,101.8,0
143,Bills D/ST,D/ST,101,0
144,Rams D/ST,D/ST,92.9,0
145,Vikings D/ST,D/ST,96.8,0
146,Saints D/ST,D/ST,102.9,0
147,Eagles D/ST,D/ST,100.3,0
148,Chargers D/ST,D/ST,93.8,0
149,Patriots D/ST,D/ST,93.9,0
150,Titans D/ST,D/ST,95.9,0
151,Greg Zuerlein,K,155.7,0
152,Justin Tucker,K,148.3,0
153,Wil Lutz,K,135.6,0
154,Harrison Butker,K,135.2,0
155,Stephen Gostkowski,K,130.7,0
156,Ka'imi Fairbairn,K,138.4,0
157,Robbie Gould,K,133.6,0
158,Mike Badgley,K,131.3,0
159,Matt Bryant,K,137.3,0
160,Brett Maher,K,125.2,0
161,Marquise Brown,WR,103.5,0
162,DJ CharkQ,WR,99.9,0
163,Terry McLaurin,WR,100.3,0
164,Eric Ebron,TE,97.2,0
165,Greg Olsen,TE,111.9,0
166,Kyle Rudolph,TE,105.2,0
167,Jameis Winston,QB,272.7,0
168,Philip Rivers,QB,267.9,0
169,Kirk Cousins,QB,263.4,0
170,Jaylen Samuels,RB,89.6,0
171,Tony Pollard,RB,53.9,0
172,Chris Thompson,RB,93,0
173,Justice Hill,RB,45.9,0
174,Justin Jackson,RB,49.5,0
175,Cole Beasley,WR,114.3,0
176,DeVante Parker,WR,106,0
177,Devin Funchess,WR,99.4,0
178,Deebo Samuel,WR,85.9,0
179,Chris Conley,WR,101.7,0
180,Mecole Hardman,WR,84.3,0
181,Ted Ginn Jr.,WR,107.9,0
182,Derek Carr,QB,243.1,0
183,Jimmy Graham,TE,102.3,0
184,Frank Gore,RB,100.2,0
185,Ty Montgomery,RB,74,0
186,Kareem HuntSSPD,RB,85.7,0
187,Dare Ogunbowale,RB,80.4,0
188,Darwin Thompson,RB,44.6,0
189,Broncos D/ST,D/ST,86.5,0
190,Colts D/ST,D/ST,93.1,0
191,Matt Prater,K,126.9,0
192,Jake Elliott,K,132.7,0
193,Darren Waller,TE,97,0
194,Ryquell Armstead,RB,74.5,0
195,Carlos Hyde,RB,86.7,0
196,Trey QuinnQ,WR,105.3,0
197,Taylor Gabriel,WR,94.4,0
198,Kenny StillsQ,WR,71.3,0
199,Damien Harris,RB,62.2,0
200,Jamaal Williams,RB,92.3,0
